Gene name	miRBase ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MIR7846	hsa-mir-7846	1	12166943	12167038
MIR1255B2	hsa-mir-1255b-2	1	167998660	167998726
MIR5585	hsa-mir-5585	1	32086949	32087007
MIR1295A	hsa-mir-1295a	1	171101728	171101806
MIR3116-1	hsa-mir-3116-1	1	62078786	62078859
MIR3116-1	hsa-mir-3116-2	1	62078786	62078859
MIR215	hsa-mir-215	1	220117853	220117962
MIR5087	hsa-mir-5087	1	148334479	148334554
MIR4675	hsa-mir-4675	10	20551970	20552046
MIR4690	hsa-mir-4690	11	65636310	65636369
MIR3916	hsa-mir-3916	1	247201967	247202060
MIR194-2	hsa-mir-194-2	11	64891355	64891439
MIR1252	hsa-mir-1252	12	79419257	79419321
MIR6860	hsa-mir-6860	11	67045643	67045708
MIR6765	hsa-mir-6765	14	105150778	105150864
MIR6755	hsa-mir-6755	11	86278333	86278398
MIR212	hsa-mir-212	17	2050271	2050380
MIR7844	hsa-mir-7844	12	94571231	94571352
MIR301A	hsa-mir-301a	17	59151136	59151221
MIR3611	hsa-mir-3611	10	35079598	35079680
MIR619	hsa-mir-619	12	108836908	108837006
MIR4316	hsa-mir-4316	17	77396984	77397054
MIR6128	hsa-mir-6128	11	56743873	56743981
MIR519C	hsa-mir-519c	19	53686469	53686555
MIR4710	hsa-mir-4710	14	104677694	104677749
MIR662	hsa-mir-662	16	770183	770277
MIR3164	hsa-mir-3164	11	69083176	69083258
MIR521-1	hsa-mir-521-1	19	53748636	53748722
MIR3130-1	hsa-mir-3130-1	2	206783234	206783308
MIR3130-1	hsa-mir-3130-2	2	206783234	206783308
MIR6756	hsa-mir-6756	11	119312950	119313012
MIR8078	hsa-mir-8078	18	112256	112339
MIR4771-1	hsa-mir-4771-1	2	87194786	87194859
MIR4771-1	hsa-mir-4771-2	2	87194786	87194859
MIR1294	hsa-mir-1294	5	154347106	154347247
MIR548X2	hsa-mir-548x-2	13	65966330	65966429
MIR4780	hsa-mir-4780	2	88082519	88082599
MIR5685	hsa-mir-5685	6	53276993	53277071
MIR762	hsa-mir-762	16	30893903	30893985
AL162291.1		20	57895394	57895444
MIR4656	hsa-mir-4656	7	4788565	4788639
MIR7109	hsa-mir-7109	22	31621467	31621531
MIR3182	hsa-mir-3182	16	83508346	83508408
MIR106B	hsa-mir-106b	7	100093993	100094074
MIR6077	hsa-mir-6077	1	148388282	148388363
MIR6778	hsa-mir-6778	17	18340814	18340886
MIR3907	hsa-mir-3907	7	151433489	151433639
AC104450.1		3	50173326	50173419
MIR1182	hsa-mir-1182	1	231019828	231019924
MIR510	hsa-mir-510	X	147272335	147272408
MIR4738	hsa-mir-4738	17	75784521	75784607
MIR4296	hsa-mir-4296	10	125032783	125032870
MIR1255A	hsa-mir-1255a	4	101330302	101330414
MIR6786	hsa-mir-6786	17	81693757	81693869
MIR4489	hsa-mir-4489	11	65649192	65649253
MIR4456	hsa-mir-4456	5	535840	535882
MIR6806	hsa-mir-6806	19	58334688	58334751
MIR6753	hsa-mir-6753	11	68044794	68044957
MIR4435-1	hsa-mir-4435-1	2	87629755	87629834
MIR4435-1	hsa-mir-4435-2	2	87629755	87629834
MIR5706	hsa-mir-5706	5	119154637	119154716
MIR301B	hsa-mir-301b	22	21652981	21653058
MIR5007	hsa-mir-5007	13	55174454	55174548
MIR3655	hsa-mir-3655	5	140647844	140647926
MIR302C	hsa-mir-302c	4	112648363	112648430
MIR378A	hsa-mir-378a	5	149732825	149732890
MIR622	hsa-mir-622	13	90231182	90231277
