Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MT-ND1	MT	3307	4262
MT-ND2	MT	4470	5511
MT-CO1	MT	5904	7445
MT-CO2	MT	7586	8269
MT-ATP8	MT	8366	8572
MT-ATP6	MT	8527	9207
MT-CO3	MT	9207	9990
MT-ND3	MT	10059	10404
MT-ND4L	MT	10470	10766
MT-ND4	MT	10760	12137
MT-ND5	MT	12337	14148
MT-ND6	MT	14149	14673
MT-CYB	MT	14747	15887
VSTM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54040833	54063953
STKLD1	CHR_HG2030_PATCH	133376515	133406244
KCNH1	CHR_HG1832_PATCH	210680180	211137522
OBP2B	CHR_HG2030_PATCH	133205277	133209250
TFPT	CHR_HSCHR19LRC_LRC_J_CTG3_1	54107066	54115801
TARM1	CHR_HSCHR19LRC_LRC_T_CTG3_1	54069947	54081380
TRPM1	CHR_HSCHR15_4_CTG8	31152534	31312750
RDH13	CHR_HSCHR19LRC_COX2_CTG3_1	54715159	54734052
TFPT	CHR_HSCHR19LRC_LRC_S_CTG3_1	54107066	54115801
OSCAR	CHR_HSCHR19LRC_LRC_I_CTG3_1	54094681	54102740
SURF6	CHR_HG2030_PATCH	133328924	133336336
SURF1	CHR_HG2030_PATCH	133351906	133356824
CCL4	CHR_HSCHR17_10_CTG4	36103827	36105621
RDH13	CHR_HSCHR19LRC_PGF2_CTG3_1	54782118	54801011
MED22	CHR_HG2030_PATCH	133338471	133348279
NLRP7	CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665	54980661
VSTM1	CHR_HSCHR19LRC_COX2_CTG3_1	54040833	54063953
TARM1	CHR_HSCHR19LRC_PGF1_CTG3_1	54069947	54081380
GPX5	CHR_HSCHR6_MHC_COX_CTG1	28526012	28534951
CACFD1	CHR_HG2030_PATCH	133460113	133470996
TFPT	CHR_HSCHR19LRC_COX1_CTG3_1	54107066	54115801
RPL7A	CHR_HG2030_PATCH	133348366	133351574
VSTM1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54040833	54063953
TARM1	CHR_HSCHR19LRC_COX2_CTG3_1	54069947	54081380
OSCAR	CHR_HSCHR19LRC_PGF2_CTG3_1	54094681	54102740
NLRP7	CHR_HSCHR19LRC_COX1_CTG3_1	54852540	54876536
VSTM1	CHR_HSCHR19LRC_COX1_CTG3_1	54040833	54063953
TARM1	CHR_HSCHR19LRC_COX1_CTG3_1	54069947	54081380
TFPT	CHR_HSCHR19LRC_LRC_I_CTG3_1	54107066	54115801
HHAT	CHR_HG1832_PATCH	210328252	210679653
VSTM1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54040833	54063953
OSCAR	CHR_HSCHR19LRC_LRC_T_CTG3_1	54094681	54102740
OSCAR	CHR_HSCHR19LRC_COX2_CTG3_1	54094681	54102740
SURF4	CHR_HG2030_PATCH	133361598	133376314
GOLGA8J	CHR_HSCHR15_4_CTG8	30233872	30247618
NLRP7	CHR_HSCHR19LRC_LRC_I_CTG3_1	54929128	54953124
SCG5	CHR_HSCHR15_4_CTG8	32721966	32777405
REXO4	CHR_HG2030_PATCH	133406207	133418244
TARM1	CHR_HSCHR19LRC_PGF2_CTG3_1	54069947	54081380
TSEN34	CHR_HSCHR19LRC_LRC_J_CTG3_1	54190866	54195141
GSTT2B	CHR_HSCHR22_1_CTG7	23957418	23961206
ADAMTS13	CHR_HG2030_PATCH	133414506	133459550
RDH13	CHR_HSCHR19LRC_LRC_T_CTG3_1	54988322	55007215
CHRFAM7A	CHR_HSCHR15_4_CTG8	30511927	30544252
TARM1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54069947	54081380
SERTAD4	CHR_HG1832_PATCH	210232796	210246631
TFPT	CHR_HSCHR19LRC_LRC_T_CTG3_1	54107066	54115801
DEDD	1	161120974	161132688
MUC2	CHR_HSCHR11_3_CTG1	1086525	1116069
SAG	2	233307816	233347055
TSEN15	1	184051651	184123978
CD46	1	207752057	207795513
PRAMEF20	1	13410450	13421328
MIXL1	1	226223618	226227054
NIT1	1	161118086	161125445
PPIE	1	39692182	39763914
ACBD3	1	226144679	226186741
COLGALT2	1	183929854	184037729
APOBEC4	1	183646275	183653316
PLEKHG4	16	67277510	67289499
UHRF1BP1L	12	100028455	100142874
PRKAB2	1	147155106	147172550
SEC23B	20	18507482	18561415
KLHDC9	1	161098361	161100346
TBCE	1	235367360	235452443
LCLAT1	2	30447226	30644225
NECTIN4	1	161070998	161089558
GOLGA3	12	132768914	132829078
DES	2	219418377	219426739
PDIK1L	1	26111165	26125555
TUBD1	17	59859479	59892945
ZNF605	12	132918306	132956306
C14orf39	14	60396469	60515543
RGL1	1	183636085	183928531
SIX6	14	60508951	60512850
B3GNT4	12	122203681	122208952
ZC3H15	2	186486253	186509361
GGPS1	1	235327350	235344532
PRAMEF17	1	13389632	13392629
PRAMEF19	1	13369067	13371900
POT1	7	124822386	124929983
INO80D	2	205993721	206086303
TIMM23	10	45972489	46003742
HOXA1	7	27092993	27095996
VPS33A	12	122229564	122266521
PRRC2C	1	171485551	171593511
POU3F4	X	83508261	83512127
DIABLO	12	122207662	122227534
HPCAL4	1	39678648	39691485
B3GALNT2	1	235447190	235504452
ARHGAP30	1	161046946	161069970
KCTD10	12	109448655	109477359
CSNK2A2	16	58157907	58198106
LMBR1L	12	49096551	49110900
MYO1H	12	109347903	109455523
AMMECR1L	2	127861630	127885922
CAPN6	X	111245099	111270483
POLR2D	2	127843553	127858155
C7orf77	7	124777292	124790810
ARPC5	1	183620846	183635783
CHFR	12	132822187	132956304
GPC2	7	100169606	100177381
RPP30	10	90871716	90908553
RAP1A	1	111542218	111716691
ADORA3	1	111499429	111503760
DIABLO	12	122207663	122227456
FOXN4	12	109277978	109309284
GAL3ST4	7	100159244	100168617
